User: USER,Path: C:\Program Files (x86)\BMG\Omega\User\Data\,Test run no.: 88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Test name: A600+shake,Date: 20/04/2017,Time: 11:28:23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID1: 20042017, AFM,ID2: M63 Gly CAA, M63 Gly 4AA, HM03, HM06, BW25113,ID3: unmerged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Absorbance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Well Row,Well Col,Content,Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600),Raw Data (600)
,,Time [h],0,0.13,0.25,0.37,0.5,0.62,0.74,0.87,0.99,1.12,1.24,1.36,1.49,1.61,1.73,1.86,1.98,2.1,2.23,2.35,2.48,2.6,2.72,2.85,2.97,3.9,3.22,3.34,3.47,3.59,3.71,3.84,3.96,4.8,4.21,4.33,4.46,4.58,4.7,4.83,4.95,5.7,5.2,5.32,5.44,5.57,5.69,5.82,5.94,6.6,6.19,6.31,6.43,6.56,6.68,6.8,6.93,7.5,7.18,7.3,7.42,7.55,7.67,7.79,7.92,8.4,8.16,8.29,8.41,8.54,8.66,8.78,8.91,9.3,9.15,9.28,9.4,9.53,9.65,9.77,9.9,10.2,10.14,10.27,10.39,10.52,10.64,10.76,10.89,11.1,11.13,11.26,11.38,11.5,11.63,11.75,11.88,11.1,12.12,12.25,12.37,12.49,12.62,12.74,12.86,12.99,13.11,13.23,13.36,13.48,13.61,13.73,13.85,13.98,14.1,14.22,14.35,14.47,14.6,14.72,14.84,14.97,15.9,15.21,15.34,15.46,15.59,15.71,15.83,15.96,16.8,16.2,16.33,16.45,16.57,16.7,16.82,16.95,17.7,17.19,17.32,17.44,17.56,17.69,17.81,17.94,18.6,18.18,18.31,18.43,18.55,18.68,18.8,18.92,19.5,19.17,19.3,19.42,19.54,19.67,19.79,19.91,20.4,20.16,20.28,20.41,20.53,20.66,20.78,20.9,21.3,21.15,21.27,21.4,21.52,21.64,21.77,21.89,22.2,22.14,22.26,22.39,22.51,22.63,22.76,22.88,23.1,23.13,23.25,23.38,23.5,23.62,23.75,23.87,23.99,24.12,24.24,24.37,24.49,24.61,24.74,24.86,24.98,25.11,25.23,25.36,25.48,25.6,25.73,25.85,25.97,26.1,26.22,26.35,26.47,26.59,26.72,26.84,26.96,27.9,27.21,27.33,27.46,27.58,27.71
A,1,Sample X1,0.079,0.076,0.077,0.077,0.077,0.078,0.077,0.077,0.077,0.077,0.077,0.081,0.083,0.078,0.077,0.078,0.077,0.077,0.077,0.077,0.081,0.077,0.079,0.079,0.077,0.076,0.077,0.077,0.082,0.076,0.076,0.076,0.076,0.076,0.076,0.076,0.075,0.075,0.076,0.078,0.075,0.075,0.075,0.075,0.075,0.075,0.078,0.075,0.073,0.074,0.075,0.074,0.078,0.078,0.075,0.08,0.074,0.077,0.074,0.074,0.075,0.074,0.075,0.075,0.075,0.078,0.075,0.074,0.075,0.08,0.074,0.078,0.074,0.078,0.075,0.074,0.074,0.074,0.074,0.074,0.074,0.075,0.074,0.074,0.073,0.074,0.074,0.072,0.074,0.074,0.08,0.074,0.074,0.074,0.072,0.074,0.073,0.073,0.077,0.077,0.073,0.073,0.074,0.074,0.073,0.073,0.077,0.072,0.077,0.073,0.073,0.073,0.077,0.08,0.073,0.074,0.076,0.073,0.073,0.073,0.071,0.073,0.073,0.073,0.073,0.073,0.071,0.073,0.073,0.073,0.073,0.073,0.072,0.076,0.072,0.073,0.082,0.073,0.072,0.072,0.075,0.072,0.072,0.073,0.073,0.073,0.073,0.076,0.073,0.073,0.073,0.075,0.074,0.08,0.076,0.073,0.076,0.073,0.072,0.076,0.072,0.073,0.072,0.073,0.072,0.072,0.079,0.075,0.071,0.073,0.071,0.072,0.073,0.072,0.075,0.072,0.072,0.079,0.072,0.072,0.073,0.072,0.072,0.072,0.072,0.072,0.072,0.072,0.075,0.079,0.072,0.072,0.075,0.072,0.072,0.072,0.072,0.075,0.072,0.072,0.072,0.073,0.075,0.072,0.072,0.072,0.072,0.072,0.071,0.072,0.072,0.072,0.072,0.072,0.081,0.072,0.072,0.072,0.072,0.072,0.072,0.072,0.072,0.072,0.072
B,1,Sample X13,0.081,0.077,0.075,0.075,0.076,0.073,0.075,0.074,0.075,0.074,0.075,0.08,0.082,0.075,0.075,0.074,0.074,0.073,0.073,0.074,0.08,0.074,0.077,0.078,0.072,0.073,0.073,0.073,0.082,0.073,0.073,0.073,0.072,0.072,0.072,0.072,0.072,0.073,0.072,0.073,0.072,0.072,0.072,0.071,0.072,0.072,0.076,0.071,0.07,0.072,0.072,0.072,0.075,0.075,0.071,0.079,0.071,0.075,0.071,0.071,0.071,0.071,0.071,0.071,0.071,0.074,0.071,0.071,0.07,0.079,0.071,0.074,0.07,0.074,0.071,0.07,0.071,0.07,0.071,0.071,0.07,0.07,0.07,0.07,0.069,0.07,0.07,0.069,0.07,0.071,0.077,0.07,0.07,0.07,0.069,0.07,0.07,0.07,0.072,0.072,0.07,0.07,0.07,0.07,0.07,0.07,0.072,0.069,0.071,0.07,0.069,0.07,0.071,0.075,0.07,0.07,0.07,0.07,0.07,0.07,0.069,0.07,0.07,0.07,0.07,0.07,0.069,0.07,0.07,0.07,0.069,0.07,0.07,0.071,0.069,0.07,0.079,0.07,0.07,0.07,0.07,0.07,0.069,0.069,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.073,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.071,0.07,0.07,0.074,0.07,0.07,0.071,0.07,0.071,0.071,0.07,0.07,0.07,0.07,0.072,0.07,0.07,0.071,0.071,0.07,0.07,0.07,0.071,0.07,0.071,0.07,0.072,0.07,0.071,0.071,0.071,0.07,0.071,0.071,0.07,0.071,0.071,0.07,0.07,0.07,0.07,0.071,0.071,0.07,0.071,0.07,0.071,0.071,0.071,0.071,0.071,0.077,0.071,0.071,0.071,0.071,0.071,0.071,0.071,0.071,0.071,0.071
C,1,Sample X25,0.077,0.075,0.075,0.075,0.075,0.074,0.074,0.075,0.075,0.074,0.075,0.079,0.08,0.075,0.074,0.074,0.074,0.073,0.073,0.074,0.079,0.074,0.077,0.077,0.073,0.074,0.074,0.073,0.08,0.073,0.073,0.074,0.072,0.073,0.073,0.073,0.073,0.073,0.072,0.075,0.072,0.073,0.073,0.072,0.072,0.072,0.076,0.072,0.071,0.072,0.072,0.072,0.075,0.075,0.072,0.079,0.071,0.075,0.072,0.071,0.072,0.072,0.071,0.072,0.071,0.075,0.071,0.071,0.071,0.079,0.071,0.074,0.071,0.074,0.071,0.071,0.071,0.07,0.071,0.07,0.07,0.071,0.07,0.071,0.069,0.07,0.07,0.069,0.07,0.07,0.077,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.072,0.072,0.07,0.07,0.07,0.07,0.07,0.07,0.071,0.069,0.071,0.07,0.069,0.07,0.071,0.076,0.07,0.07,0.071,0.07,0.07,0.07,0.069,0.07,0.07,0.07,0.069,0.07,0.069,0.07,0.07,0.07,0.069,0.07,0.07,0.07,0.069,0.07,0.079,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.069,0.073,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.073,0.07,0.07,0.071,0.07,0.07,0.071,0.07,0.07,0.071,0.07,0.072,0.07,0.07,0.071,0.07,0.07,0.071,0.07,0.07,0.071,0.071,0.07,0.072,0.07,0.071,0.071,0.07,0.07,0.07,0.071,0.07,0.07,0.071,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.071,0.07,0.071,0.071,0.07,0.07,0.071,0.079,0.071,0.071,0.071,0.071,0.071,0.071,0.071,0.071,0.071,0.071
D,1,Sample X37,0.081,0.078,0.079,0.079,0.079,0.078,0.079,0.079,0.079,0.079,0.079,0.081,0.083,0.079,0.079,0.079,0.079,0.079,0.079,0.079,0.081,0.079,0.079,0.079,0.078,0.079,0.079,0.079,0.082,0.079,0.079,0.079,0.078,0.078,0.078,0.078,0.078,0.078,0.078,0.079,0.078,0.078,0.078,0.078,0.078,0.078,0.08,0.078,0.076,0.078,0.077,0.077,0.08,0.079,0.077,0.081,0.077,0.08,0.077,0.077,0.077,0.077,0.077,0.077,0.077,0.079,0.076,0.076,0.076,0.081,0.077,0.08,0.076,0.079,0.076,0.076,0.076,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.073,0.075,0.075,0.073,0.074,0.074,0.08,0.075,0.074,0.074,0.072,0.074,0.074,0.074,0.077,0.078,0.073,0.074,0.073,0.074,0.073,0.073,0.077,0.071,0.077,0.073,0.073,0.072,0.076,0.08,0.073,0.073,0.076,0.073,0.073,0.072,0.07,0.072,0.073,0.072,0.072,0.072,0.07,0.072,0.072,0.072,0.072,0.072,0.072,0.075,0.07,0.072,0.081,0.072,0.071,0.072,0.075,0.072,0.072,0.071,0.071,0.072,0.072,0.075,0.072,0.072,0.072,0.074,0.072,0.078,0.074,0.071,0.075,0.072,0.071,0.074,0.071,0.071,0.071,0.072,0.072,0.071,0.078,0.074,0.07,0.071,0.07,0.071,0.071,0.071,0.074,0.071,0.071,0.077,0.071,0.071,0.072,0.071,0.071,0.071,0.071,0.071,0.071,0.071,0.073,0.078,0.071,0.071,0.074,0.071,0.071,0.071,0.072,0.073,0.071,0.071,0.071,0.071,0.073,0.071,0.071,0.071,0.071,0.071,0.071,0.072,0.072,0.071,0.072,0.072,0.081,0.072,0.071,0.072,0.071,0.072,0.071,0.072,0.072,0.072,0.072
E,1,Sample X49,0.08,0.077,0.077,0.077,0.077,0.076,0.076,0.076,0.076,0.077,0.076,0.08,0.082,0.076,0.076,0.076,0.076,0.075,0.075,0.075,0.08,0.075,0.078,0.078,0.073,0.075,0.074,0.075,0.081,0.075,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.073,0.076,0.073,0.073,0.073,0.073,0.073,0.073,0.077,0.073,0.071,0.072,0.072,0.073,0.077,0.077,0.073,0.08,0.072,0.076,0.072,0.072,0.072,0.072,0.072,0.071,0.072,0.076,0.071,0.071,0.071,0.08,0.071,0.076,0.071,0.075,0.071,0.071,0.071,0.071,0.071,0.07,0.071,0.071,0.07,0.071,0.069,0.07,0.071,0.069,0.07,0.07,0.078,0.07,0.07,0.07,0.069,0.07,0.07,0.07,0.072,0.073,0.07,0.07,0.07,0.07,0.07,0.07,0.073,0.068,0.073,0.07,0.07,0.07,0.071,0.077,0.07,0.07,0.071,0.07,0.07,0.069,0.068,0.069,0.07,0.069,0.069,0.07,0.069,0.07,0.069,0.07,0.069,0.07,0.07,0.071,0.068,0.069,0.079,0.07,0.07,0.07,0.071,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.071,0.07,0.074,0.07,0.07,0.071,0.07,0.07,0.071,0.07,0.07,0.07,0.07,0.07,0.07,0.074,0.071,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.073,0.07,0.071,0.071,0.07,0.07,0.07,0.07,0.07,0.07,0.071,0.071,0.073,0.07,0.071,0.071,0.07,0.07,0.07,0.071,0.07,0.071,0.071,0.07,0.07,0.07,0.07,0.07,0.07,0.071,0.07,0.071,0.071,0.071,0.071,0.071,0.071,0.077,0.071,0.071,0.071,0.071,0.071,0.071,0.071,0.071,0.071,0.071
F,1,Sample X61,0.079,0.077,0.076,0.076,0.076,0.074,0.075,0.075,0.075,0.075,0.075,0.079,0.08,0.075,0.074,0.075,0.074,0.074,0.074,0.074,0.079,0.074,0.077,0.077,0.072,0.074,0.073,0.073,0.081,0.073,0.073,0.074,0.072,0.073,0.073,0.073,0.072,0.073,0.073,0.075,0.072,0.072,0.072,0.071,0.073,0.072,0.076,0.072,0.07,0.072,0.072,0.072,0.076,0.076,0.072,0.079,0.071,0.075,0.072,0.072,0.072,0.072,0.072,0.072,0.072,0.075,0.072,0.071,0.071,0.079,0.071,0.075,0.071,0.075,0.072,0.071,0.071,0.071,0.071,0.071,0.071,0.071,0.071,0.071,0.069,0.07,0.071,0.07,0.071,0.071,0.078,0.071,0.071,0.071,0.069,0.071,0.07,0.071,0.072,0.072,0.07,0.07,0.07,0.071,0.07,0.07,0.072,0.069,0.072,0.07,0.07,0.07,0.072,0.076,0.07,0.07,0.071,0.07,0.07,0.069,0.069,0.07,0.07,0.07,0.069,0.07,0.069,0.07,0.07,0.07,0.07,0.07,0.07,0.071,0.069,0.07,0.079,0.07,0.07,0.07,0.071,0.07,0.07,0.07,0.07,0.07,0.07,0.071,0.071,0.07,0.07,0.071,0.069,0.075,0.07,0.07,0.071,0.07,0.07,0.071,0.07,0.07,0.07,0.07,0.07,0.071,0.074,0.071,0.07,0.07,0.07,0.071,0.071,0.07,0.071,0.071,0.07,0.073,0.07,0.07,0.071,0.071,0.07,0.071,0.07,0.07,0.071,0.071,0.071,0.073,0.07,0.071,0.071,0.071,0.07,0.071,0.071,0.07,0.071,0.071,0.07,0.071,0.071,0.071,0.071,0.071,0.07,0.071,0.071,0.071,0.071,0.071,0.071,0.071,0.078,0.071,0.071,0.071,0.071,0.071,0.071,0.071,0.071,0.071,0.071
G,1,Sample X73,0.079,0.077,0.076,0.076,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.079,0.08,0.075,0.075,0.075,0.074,0.074,0.074,0.074,0.079,0.074,0.077,0.077,0.073,0.075,0.074,0.073,0.08,0.073,0.073,0.074,0.073,0.073,0.073,0.073,0.073,0.073,0.073,0.075,0.073,0.072,0.072,0.072,0.073,0.072,0.076,0.072,0.072,0.072,0.072,0.072,0.076,0.076,0.073,0.079,0.072,0.075,0.072,0.072,0.072,0.072,0.072,0.072,0.072,0.075,0.071,0.072,0.071,0.079,0.072,0.074,0.071,0.074,0.072,0.071,0.072,0.071,0.071,0.071,0.071,0.071,0.071,0.071,0.071,0.071,0.071,0.071,0.071,0.071,0.077,0.071,0.071,0.071,0.07,0.071,0.071,0.072,0.072,0.072,0.07,0.071,0.071,0.071,0.071,0.071,0.072,0.07,0.072,0.071,0.071,0.071,0.072,0.076,0.071,0.071,0.072,0.071,0.071,0.07,0.07,0.071,0.071,0.071,0.07,0.07,0.07,0.071,0.07,0.071,0.07,0.071,0.071,0.071,0.07,0.071,0.079,0.071,0.071,0.07,0.072,0.071,0.07,0.071,0.071,0.071,0.071,0.071,0.071,0.071,0.071,0.071,0.071,0.075,0.071,0.071,0.072,0.071,0.071,0.071,0.071,0.071,0.071,0.071,0.071,0.071,0.075,0.072,0.071,0.072,0.071,0.072,0.072,0.071,0.072,0.072,0.071,0.074,0.071,0.071,0.072,0.071,0.071,0.071,0.071,0.071,0.071,0.072,0.071,0.074,0.071,0.072,0.072,0.072,0.071,0.071,0.072,0.072,0.072,0.072,0.071,0.072,0.072,0.072,0.072,0.071,0.071,0.071,0.071,0.072,0.072,0.072,0.072,0.072,0.078,0.072,0.072,0.072,0.072,0.072,0.072,0.072,0.072,0.072,0.072
H,1,Sample X85,0.073,0.068,0.069,0.069,0.069,0.068,0.069,0.07,0.07,0.069,0.069,0.078,0.081,0.07,0.07,0.07,0.07,0.069,0.07,0.07,0.079,0.069,0.074,0.074,0.068,0.07,0.069,0.069,0.081,0.07,0.07,0.07,0.069,0.069,0.07,0.069,0.07,0.07,0.069,0.071,0.07,0.07,0.07,0.07,0.07,0.07,0.073,0.07,0.069,0.07,0.07,0.071,0.073,0.072,0.07,0.077,0.07,0.073,0.071,0.071,0.071,0.071,0.071,0.071,0.071,0.073,0.071,0.071,0.07,0.077,0.071,0.073,0.071,0.072,0.071,0.07,0.071,0.071,0.071,0.071,0.07,0.071,0.071,0.071,0.07,0.071,0.071,0.07,0.071,0.071,0.076,0.071,0.071,0.071,0.07,0.071,0.071,0.071,0.072,0.072,0.071,0.071,0.071,0.071,0.071,0.071,0.072,0.07,0.072,0.071,0.071,0.071,0.072,0.076,0.071,0.071,0.072,0.071,0.071,0.07,0.07,0.07,0.071,0.071,0.071,0.071,0.07,0.071,0.071,0.071,0.071,0.071,0.071,0.072,0.069,0.071,0.08,0.071,0.071,0.071,0.072,0.071,0.071,0.071,0.071,0.071,0.071,0.073,0.071,0.071,0.071,0.072,0.071,0.076,0.072,0.071,0.073,0.072,0.071,0.072,0.071,0.071,0.071,0.072,0.072,0.071,0.076,0.073,0.071,0.072,0.07,0.072,0.072,0.071,0.073,0.072,0.072,0.076,0.071,0.071,0.072,0.072,0.072,0.072,0.071,0.072,0.071,0.072,0.072,0.075,0.071,0.072,0.073,0.072,0.071,0.071,0.072,0.073,0.072,0.071,0.071,0.072,0.073,0.072,0.072,0.072,0.071,0.071,0.071,0.072,0.072,0.072,0.072,0.072,0.08,0.072,0.072,0.072,0.072,0.072,0.072,0.072,0.072,0.072,0.072
A,2,Sample X2,0.076,0.075,0.075,0.075,0.074,0.073,0.074,0.074,0.074,0.074,0.073,0.076,0.079,0.074,0.073,0.073,0.073,0.073,0.073,0.073,0.076,0.073,0.074,0.074,0.071,0.072,0.072,0.072,0.079,0.072,0.072,0.072,0.072,0.072,0.072,0.072,0.071,0.072,0.071,0.073,0.071,0.071,0.071,0.071,0.071,0.071,0.073,0.071,0.07,0.071,0.071,0.071,0.073,0.073,0.071,0.076,0.071,0.072,0.071,0.071,0.071,0.071,0.071,0.07,0.071,0.072,0.07,0.071,0.071,0.075,0.071,0.072,0.07,0.072,0.07,0.07,0.071,0.071,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.075,0.07,0.07,0.07,0.07,0.07,0.07,0.071,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.071,0.069,0.07,0.07,0.07,0.07,0.07,0.074,0.07,0.07,0.07,0.07,0.07,0.07,0.069,0.07,0.07,0.07,0.07,0.07,0.069,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.069,0.07,0.076,0.069,0.069,0.07,0.069,0.07,0.069,0.07,0.07,0.07,0.07,0.069,0.07,0.07,0.07,0.069,0.069,0.072,0.069,0.07,0.069,0.069,0.07,0.069,0.07,0.069,0.07,0.07,0.069,0.07,0.071,0.069,0.069,0.069,0.07,0.07,0.07,0.07,0.069,0.07,0.069,0.071,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.069,0.072,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.075,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07
